ID Progetto,File,Indirizzo,Imprese,Valore Stimato
446630,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Silvestro Lega  56037 Peccioli ( PI ),Monsud SpA,12643000
446675,"PIEMONTE, LIGURIA, VENETO (1)",Via Vadalà  14049 Nizza Monferrato ( AT ),Consorzio ITM; Eatec srl,5613000
446881,"PIEMONTE, LIGURIA, VENETO (1)",Via Venaria  10093 Collegno ( TO ),Met srl,25000000
446974,"PIEMONTE, LIGURIA, VENETO (1)",via Pisa 38  10152 Torino ( TO ),Perino Piero srl,35000000
447227,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Bergamo  47838 Riccione ( RN ),I Platani srl; integrato aggiudicato all'impresa segnalata che ha indicato i,4497000
447287,"PIEMONTE, LIGURIA, VENETO (1)",Via Cassanello 9  14055 Costigliole d'Asti ( AT ),Ruscalla Renato SpA,1230000
447291,"PIEMONTE, LIGURIA, VENETO (1)",Via Coppino 26  12100 Cuneo ( CN ),MIT srl,5652000
447331,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Pace 29/A  41030 San Prospero ( MO ),Capogruppo ATI; Tecnosystem snc di Quartarone G. & C.,1248000
447350,LOMBARDIA X FEDE,Via Verdi  21042 Caronno Pertusella ( VA ),Capogruppo ATI; Eurosistemi srl,3314000
447536,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Pieve di Cadore 3  40139 Bologna ( BO ),Seep Bo srl,1405000
447694,"PIEMONTE, LIGURIA, VENETO (1)",Via Sartori ang. Via De Gasperi  12042 Bra ( CN ),Preve Costruzioni SpA,9713000
447729,LOMBARDIA X FEDE,Via Serlini  25035 Ospitaletto ( BS ),ArCo Lavori s.coop.consortile; Seli Manutenzioni Generali Srl,3956000
447864,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Gronchi  43123 Parma ( PR ),COIMPA Consorzio Stabile Imprese Associate; Grenti SpA; aggiudicato al Consorzio segnalato che ha indicato l'impresa,9469000
448261,"PIEMONTE, LIGURIA, VENETO (1)",via don Orione  12042 Bra ( CN ),Mondavi Costruzioni Bra,6000000
448284,"PIEMONTE, LIGURIA, VENETO (1)",P.za Mafalda di Savoia  10098 Rivoli ( TO ),Capogruppo ATI; MIT srl; integrato,6388000
448343,LOMBARDIA X FEDE,Via Comelli  24058 Romano di Lombardia ( BG ),Cortesi Costruzioni srl,4200000
448424,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Biondi  55051 Barga ( LU ),Arte e Colore di Fogli Stefano; Campigli srl; Capogruppo ATI; OLV srl; Technologica srl,4088000
449507,LOMBARDIA X FEDE,Via Trieste  21020 Buguggiate ( VA ),Gabri Luigi sas di Alessandro Gabri Gabricasa,8000000
449865,"PIEMONTE, LIGURIA, VENETO (1)",Via Ospedale 72  12010 Entracque ( CN ),Cornaglia Fratelli srl,1288000
450008,"PIEMONTE, LIGURIA, VENETO (1)",Via Guido Reni 96  35132 Padova ( PD ),Sicea srl,4899000
