ID Progetto,File,Indirizzo,Imprese,Latitudine,Longitudine
541522,PIEMONTE,Strada privata Perosi  28100 Novara ( NO ),Nuova Edil Pernate srl,45.4612397,8.6177752
541532,PIEMONTE,V.le Europa 53  10040 Leini ( TO ),Edil Casula srl; assegnato,45.1834546,7.715947700000001
541534,PIEMONTE,Via Don Michele Cavaletto  10086 Rivarolo Canavese ( TO ),JCS Costruzioni srl,45.345903,7.7087203
541535,PIEMONTE,C.so XXV Aprile  12022 Busca ( CN ),Rosso Enzo e F.lli Costruzioni Edili snc,44.5206547,7.4758796
541544,PIEMONTE,Via Rubiana  10040 Almese ( TO ),Natural House; assegnato,45.123652,7.392144
541704,emilia romagna,Via V. Bellini  40054 Budrio ( BO ),Impresa Edile Calori,44.5221607,11.526332
541707,emilia romagna,Via Berlinguer   40054 Budrio ( BO ),Smat Due di Massimo Tassinari & C. srl; assegnato,44.5327379,11.5393924
541709,emilia romagna,Via B. Orsoni   40054 Budrio ( BO ),Budrio Due Costruzioni srl; assegnato,44.5325565,11.5369551
541777,PIEMONTE,via Giulio Cesare  28100 Novara ( NO ),Capogruppo ATI; TK srl; assegnato,45.4349842,8.6177135
541854,PIEMONTE,Via B.Alfieri 6  28100 Novara ( NO ),Nuova Edil Pernate srl; assegnato,45.4439298,8.609087599999999
541858,PIEMONTE,Via Felice Cavallotti  28845 Domodossola ( VB ),Frua Immobiliare srl; assegnato,46.1133862,8.2930042
541866,PIEMONTE,Via Marelli 7  28072 Briona ( NO ),(nominativo al momento non dichiarato); assegnato,45.5342341,8.5090901
541869,PIEMONTE,Via Biscaretti 5  10060 San Secondo di Pinerolo ( TO ),La Gustavo sas di Di Gangi Davide & C; assegnato,44.8625971,7.3195577
541938,emilia romagna,Via Mazzoni   29027 Podenzano ( PC ),BSB Edilizia snc di Bonfanti Enrico & C.; assegnato,44.9537324,9.6893627
541959,Veneto senza verona e vicenza,Via Sega 3394  35010 San Giorgio in Bosco ( PD ),Mozzo F.lli snc Costruzioni Edili,45.5975093,11.8392096
542089,Veneto senza verona e vicenza,Via Pertini   35020 Legnaro ( PD ),Sabegi srl; assegnato,45.3425566,11.9708652
542124,Veneto senza verona e vicenza,Via Posa 32   31030 Castelcucco ( TV ),Edilcolli snc; assegnato,45.8261913,11.8839331
542195,Veneto senza verona e vicenza,Via Lazzaretto  35010 Trebaseleghe ( PD ),(nominativo al momento non dichiarato); assegnato,45.5965448,12.0573513
