integrato aggiudicato all'impresa
integrato
ITEC srl Costruzioni Generali
integrato aggiudicato all'impresa segnalata che ha indicato
Fine lavori
Nicoletti Costruzioni srl
aggiudicato all'impresa segnalata che ha offerto il ribasso
COSPA srl
Foen sas di Morato geom. Giovanni & C.
CEV SpA
Costruzioni Manutenzioni Cecchin srl
Merotto Bau
Tadiello Costruzioni srl
Malvestio Case
Karma Studio
Unika Services Srl
(nominativo al momento non dichiarato)
Giotto srl
Galiazzo Fratelli Costruzioni srl
Edilcolli snc
Cecchin srl
CPR srl
Immobiliare Modena Michela
Namira SGRpA
Munaretto Group srl
Cristian Randon
Meneghelli Costruzioni Group srl
Immobiliare Millennio Snc Di Borile Daniela & C.
Presotto Ennio srl
Soravia Group
Cedri Immobiliare srl
Consorzio Innova Società Cooperativa
Carron SpA
San Lorenzo Invest srl
Marchesin snc
Costruzioni Dalla Verde SpA
GeDi Group SpA
Cons. Stabile Conpat scarl
Taddei Spa
Manelli Impresa Spa
Skudo Consorzio Stabile
Fedrigoli Costruzioni SpA
Mozzo F.lli snc Costruzioni Edili
De Biasi Costruzioni snc
Domus 21 srl
SCR Immo srl
Battistella Costruzioni srl
Capogruppo ATI
Castellanimpianti srl
CEA Coop Edile Appennino s.coop.rl
Costruzioni Venete srl
Impresa Zambelli srl
Sabegi srl
Fae di Farina Andrea & C Snc
integrato aggiudicato al Consorzio
VF Costruzioni e Restauri Srl
ArCo Lavori s.coop.consortile
aggiudicato
FM Costruzioni srl
Gentile Costruzioni Srl
Todisco Costruzioni srl
Mini Costruzioni Srl
Ecis Global srl
Radar srl
Luma srl
Costruzioni Bordignon srl
Edilprealpi srl
Tiemme Costruzioni Edili SpA
Fam Real Estate
Industrie Edili SpA
Golden Art srl
Bodo Costruzioni srl
Panizzon Bruno & Figli srl
Parisotto Danilo Costruzioni Edili
Luma Immobilien srl
aggiudicato al Consorzio segnalato che ha indicato l'impresa
Pavan Silvano
Cosvem - Consorzio Sviluppo Edilizia Moderna
Malvestio Case srl
aggiudicato all'impresa segnalata che ha
Frattin Costruzioni srl
Impresa Edile Dal Pra' Nicola
IPS Srl
